x,y
High,Approve
High,Approve
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Low,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Low,Approve
Low,Approve
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
High,Approve
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
High,Approve
Low,Decline
High,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
High,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
Low,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
Low,Decline
Low,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
High,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
High,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
Low,Decline
Medium,Decline
High,Decline
High,Approve
Medium,Decline
High,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
High,Approve
High,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Low,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
High,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
Low,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
Medium,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Approve
High,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
High,Approve
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Low,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
Low,Decline
High,Approve
Low,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
High,Decline
High,Approve
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
High,Approve
High,Approve
High,Approve
High,Approve
High,Approve
High,Approve
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
High,Approve
High,Approve
Low,Decline
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Low,Decline
Low,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
Medium,Decline
Low,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Low,Decline
Medium,Decline
Medium,Decline
High,Approve
Medium,Decline
Low,Decline
Medium,Decline
High,Decline
Low,Decline
High,Approve
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
Medium,Decline
Low,Decline
High,Approve
Medium,Decline
High,Approve
Low,Decline
Medium,Decline
Medium,Decline
